Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
35.0,43.0,48.0,41.0,42.0
31.0,46.0,40.0,41.0,47.0
36.0,36.0,42.0,37.0,45.0
33.0,34.0,29.0,35.0,35.0
34.0,43.0,35.0,44.0,30.0
45.0,53.0,40.0,33.0,51.0
42.0,39.0,47.0,36.0,37.0
35.0,44.0,46.0,46.0,46.0
30.0,41.0,40.0,42.0,44.0
30.0,33.0,37.0,36.0,38.0
39.0,41.0,45.0,31.0,31.0
51.0,28.0,36.0,40.0,32.0
40.0,37.0,33.0,41.0,46.0
33.0,45.0,39.0,43.0,42.0
38.0,38.0,35.0,37.0,40.0
32.0,41.0,25.0,42.0,42.0
27.0,41.0,54.0,53.0,58.0
31.0,40.0,34.0,38.0,40.0
34.0,39.0,41.0,49.0,49.0
32.0,36.0,31.0,41.0,48.0
35.0,31.0,55.0,40.0,53.0
37.0,32.0,35.0,38.0,45.0
24.0,38.0,34.0,51.0,42.0
36.0,37.0,31.0,33.0,41.0
33.0,41.0,37.0,42.0,49.0
35.0,40.0,37.0,35.0,40.0
23.0,33.0,25.0,46.0,22.0
30.0,36.0,34.0,39.0,42.0
29.0,40.0,37.0,48.0,42.0
33.0,41.0,37.0,42.0,49.0
31.0,36.0,34.0,49.0,40.0
36.0,44.0,44.0,59.0,53.0
37.0,48.0,45.0,40.0,43.0
29.0,45.0,36.0,44.0,46.0
27.0,47.0,39.0,46.0,41.0
27.0,47.0,38.0,47.0,56.0
19.0,58.0,40.0,46.0,50.0
43.0,36.0,35.0,39.0,35.0
28.0,50.0,32.0,47.0,50.0
32.0,39.0,48.0,43.0,50.0
27.0,47.0,43.0,50.0,44.0
35.0,40.0,39.0,46.0,52.0
21.0,48.0,44.0,37.0,49.0
35.0,34.0,38.0,36.0,44.0
41.0,26.0,26.0,44.0,44.0
31.0,39.0,32.0,42.0,38.0
32.0,35.0,43.0,43.0,43.0
21.0,52.0,47.0,40.0,49.0
27.0,35.0,44.0,42.0,51.0
29.0,40.0,33.0,43.0,45.0
37.0,40.0,23.0,44.0,47.0
40.0,32.0,26.0,43.0,38.0
31.0,48.0,40.0,34.0,54.0
40.0,33.0,43.0,43.0,38.0
38.0,40.0,36.0,41.0,38.0
34.0,34.0,41.0,45.0,45.0
26.0,47.0,45.0,40.0,47.0
33.0,36.0,45.0,50.0,35.0
31.0,33.0,30.0,46.0,40.0
33.0,37.0,38.0,44.0,43.0
26.0,35.0,39.0,47.0,47.0
27.0,36.0,39.0,42.0,40.0
26.0,46.0,43.0,43.0,46.0
29.0,34.0,39.0,38.0,37.0
48.0,44.0,37.0,40.0,32.0
39.0,48.0,47.0,43.0,49.0
39.0,29.0,51.0,43.0,35.0
26.0,33.0,38.0,32.0,32.0
30.0,39.0,35.0,43.0,43.0
39.0,37.0,35.0,44.0,34.0
26.0,44.0,42.0,43.0,48.0
23.0,50.0,45.0,42.0,36.0
38.0,37.0,38.0,49.0,47.0
38.0,43.0,37.0,48.0,37.0
33.0,36.0,42.0,43.0,43.0
26.0,38.0,34.0,50.0,47.0
47.0,39.0,44.0,37.0,35.0
37.0,37.0,36.0,37.0,37.0
39.0,49.0,48.0,36.0,52.0
